Sample Name,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus
22,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.66,0.06,0.0,0.04,0.06,0.09,0.76,0.26,0.0,0.23,0.02,0.0,0.0,6.7,0.01,80.73,0.01,0.59,0.01,0.01,0.0,0.0,3.07,0.39,0.15,,Hybrid,18%,Myrcene,"22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.      ",0.0,0.5,0.5,0.5,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.2,0.2,0.0,0.5,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24k Gold,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.003,0.0,0.001,0.0,0.0,0.075,0.001,0.007,0.0,0.074,0.045,0.0,0.192,1.583,0.0,0.091,0.493,0.0,0.0,0.0,0.43,0.0,24.35,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.18,0.0,,Hybrid,20%,Limonene,"24k Gold is a hybrid marijuana strain made by crossing Kosher Kush with Tangie. This strain provides euphoric and relaxing effects that are long-lasting. 24k Gold offers a sweet critrus flavor when smoked or vaped. Growers say this strain has dark colored buds like its parent, Kosher Kush.",0.61,0.55,0.41,0.44,0.0,0.23,0.11,0.05,0.0,0.02,0.27,0.18,0.24,0.24,0.0,0.0,0.0,0.02,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.45883333333333337,0.0,0.0,0.020833333333333332,2.833833333333333,0.9805,0.0,0.45616666666666666,0.12166666666666666,0.0,0.007833333333333333,0.3115,0.0,0.0,21.37,5.891666666666667,0.0,3.42,0.0,0.02,0.12,0.15666666666666668,0.0,0.0,0.4166666666666667,0.011666666666666667,0.12,,Hybrid,19%,Caryophyllene,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",0.58,0.58,0.48,0.48,0.0,0.21,0.13,0.05,0.02,0.02,0.35,0.22,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3X Crazy,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.002,0.0,0.0,0.096,0.0,0.0,0.007,0.069,0.012,0.0,0.201,0.57,0.0,0.027,0.123,0.0,0.0,0.0,0.77,0.0,13.62,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.05,0.0,,Indica,13%,Myrcene,"3X Crazy is an indica marijuana strain made by crossing OG Kush, Bubba Kush, and Granddaddy Purple. 3X Crazy produces relaxing body effects with a clear-headed cerebral high. This strain features flavors like grape, spicy pepper, and earthy notes. Medical marijuana patients choose 3X Crazy to relieve symptoms associated with chronic pain, muscle spasms, tension and insomnia. This strain is sometimes called Optimus Prime.",0.76,0.48,0.47,0.31,0.38,0.23,0.16,0.03,0.02,0.04,0.38,0.31,0.26,0.22,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501st OG,0.0,0.0,0.0,0.0,0.0,0.0,0.0066363636363636356,0.05781818181818182,0.0,0.0009090909090909091,0.00045454545454545455,0.0,0.6934545454545454,0.008363636363636363,0.002545454545454545,0.024363636363636365,0.5953636363636364,0.37409090909090903,0.0,0.272,0.519090909090909,0.0,0.057545454545454545,0.22745454545454544,0.0,0.0,12.467272727272727,1.11,0.002727272727272727,14.760909090909092,0.0027272727272727275,0.04727272727272727,0.11,0.04363636363636363,0.0,0.0018181818181818182,0.8727272727272727,0.05181818181818181,0.03272727272727272,,Hybrid,21%,Myrcene,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",0.81,0.47,0.44,0.25,0.41,0.19,0.06,0.01,0.0,0.01,0.33,0.32,0.22,0.27,0.31,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,2.89,0.0,0.0,1.01,0.21,0.0,0.0,0.0,0.0,0.0,16.48,0.35,0.0,0.0,0.0,0.0,0.15,0.09,0.0,0.0,0.62,0.0,0.03,,Hybrid,16%,Myrcene,"This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. This strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most consumers feeling calm and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",0.37,0.46,0.45,0.42,0.0,0.32,0.17,0.07,0.08,0.0,0.43,0.34,0.29,0.32,0.0,0.0,0.0,0.07,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707 Truthband,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.01,0.09,0.03,0.06,0.0,0.31,0.3,0.0,0.1,0.89,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.07,0.0,0.18,0.0,0.0,0.0,0.37,0.15,,Hybrid,18%,Limonene,"Crossing two carefully selected True OG phenotypes, 707 Truthband was developed by Emerald Mountain Seeds. Buds grow dense and heavy on strong stalks with beautiful red and purple hues. Aromas have notes of spiced fruit, lemon, oil, and pine, and its long-lasting high is both cerebral and physical. ",0.66,1.0,0.66,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0,0.33,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Ball Kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.25,0.0,0.26,0.23,0.0,0.0,0.0,0.0,0.0,10.15,0.75,0.0,0.0,0.0,0.0,0.03,0.18,0.0,0.0,0.12,0.0,0.01,,Indica,22%,Myrcene,"Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",0.78,0.57,0.38,0.47,0.0,0.19,0.09,0.0,0.04,0.04,0.28,0.4,0.3,0.0,0.26,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818 Headband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.46,0.02,0.01,0.02,0.0,0.09,0.39,0.23,0.04,0.01,0.0,0.0,0.0,17.7,0.0,0.0,0.1,0.1,0.0,0.16,0.0,0.0,0.0,2.09,0.17,,Hybrid,19%,Caryophyllene,"818 Headband is a hybrid marijuana strain. We're still learning about the flavors and effects of 818 Headband - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818 OG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.53,0.0,0.44,0.12,0.0,0.0,0.0,0.0,0.0,24.5,0.62,0.0,0.0,0.0,0.0,0.06,0.13,0.0,0.0,0.48,0.0,0.03,,Indica,,,"Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG. ",0.42,0.42,0.0,0.26,0.26,0.15,0.1,0.0,0.0,0.0,0.0,0.21,0.31,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
